"EvidenceBucket","FilePath","FileName","SHA256","DateTaken","FallbackTimestamp","OcrTextPath","IncludeHits","ExcludeHits","ConcernFlag","OcrPreview"
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\2025-07-14.png","2025-07-14.png","90D3882859C3748DF7DC27B639849EA9B2FCE1A6AF05432F7FE8B931DD2F08B7","","1980-01-01 00:00:00",".\04-logs\ocr\90D3882859C3748DF7DC27B639849EA9B2FCE1A6AF05432F7FE8B931DD2F08B7.txt","0","0","False","5:43 2 a > OT  <@ By Adri 2  pay VWOrKINgG NOW  7:02 AM  @ Thank you! ® ¥  Unread messages  "
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\2025-07-14(1).png","2025-07-14(1).png","6FF961B7EC33FE33645D5FA3ACD097D34785F669A689008FE5489100D3174C97","","1980-01-01 00:00:00",".\04-logs\ocr\6FF961B7EC33FE33645D5FA3ACD097D34785F669A689008FE5489100D3174C97.txt","0","0","False","5:243 5 LO su * we auhs> schedule a time to go over your...  s +1 (651) 377-1957 9:20 AM X\  Missed call @, Tha Poe 9:06AM =) sent you a chat a = 1  Apple News Spotlight 9:04AM A new kind of bad girl is taking  , XX over America. Plus, “pommel- horse guy,” Moo Deng, and more of 2024's culture-defining mom...  ~~ “Tin — is  L | +16186101527 8:55 aw © Great news Joshua: You sec"
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\2025-07-14(2).png","2025-07-14(2).png","A07ED2D74DA25850CDF024365480C4D940D2966987B8DFB75AB025C741A5649C","","1980-01-01 00:00:00",".\04-logs\ocr\A07ED2D74DA25850CDF024365480C4D940D2966987B8DFB75AB025C741A5649C.txt","0","0","False","6:10 4 PT) | > ‘10  <® fh) Daya chavez . ax  JUL 10 AT 10:11AM  4:39AM  5:10 AM  Seen 6:03 AM my) 29? Ay Who a 6 See original  dv  6 aAG & Aa ® &  "
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\2025-07-14(3).png","2025-07-14(3).png","E69BA2E13980F3E28984FA9A29CBF9234ABE8D1502913B42653E21B45D20FB38","","1980-01-01 00:00:00",".\04-logs\ocr\E69BA2E13980F3E28984FA9A29CBF9234ABE8D1502913B42653E21B45D20FB38.txt","0","0","False","@ | don't know 6  oaG © Aa ® &  Recents v  a we8 y e@ @ _Notlook good @ _Notsleep for us Not look dear ° _— Doiiver a a mz o Cooney’ OSreoacy f& So» | on  mG) 74 a ae iene RnR SR0RGH00G8 ewenryuror  se a “Wow your a tough girl 3 necks) Pe dae nd Caller ce dio @ Cues te aot want be tl @ Notsleep torus 8 Teco ® @_Fmgetting crazy 3 3 eae »& (Aa © » _ eae »& (Aa © » The “ot, 1 "
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_0649.PNG","IMG_0649.PNG","A8AAA6707A5482AA5B2F2750EFAD0E214C831B726AC6CED04106A03D12FBA583","","1980-01-01 00:00:00",".\04-logs\ocr\A8AAA6707A5482AA5B2F2750EFAD0E214C831B726AC6CED04106A03D12FBA583.txt","1","0","False","messenger GO  ww GT eYFr .  Your note MelRashel  @a Marketplace 19 new mes... - 6:48am  Joe Bailey Joe sent a mess... - Sun  Xandra Philli Xandra sentan... -Sun  William Patterson The audio calle... - Sun  Barron Trump ’ https://x.com/Ba... - Sat  Ryan Lee The audio call en... - Sat  Tirson Lambe... + Fri .  NB Miata group == NB Miata chat: Ye... - Fri  Adri ® You se"
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_0650.PNG","IMG_0650.PNG","9CB759F74CFE685C566BF2B76EEFCC5129F4966771CD399EC0E30120741AE4DF","","1980-01-01 00:00:00",".\04-logs\ocr\9CB759F74CFE685C566BF2B76EEFCC5129F4966771CD399EC0E30120741AE4DF.txt","1","0","False","messenger GO  we So YW GS: |  Your note Melissa Rashel  @a Marketplace  19 new mes... - 6:48am  Joe Bailey Joe sent a mess... - Sun  Xandra Philli Xandra sentan... -Sun  William Patterson The audio calle... - Sun  Barron Trump ' https://x.com/Ba... - Sat  Ryan Lee The audio call en... - Sat  Tirson Lambe... - Fri .  NB Miata group == NB Miata chat: Ye... - Fri  Adri "
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_0651.PNG","IMG_0651.PNG","B6FBB3E8E2BED7E935703BA970F7962810BA0D7FDFE4CD69A288A127D7AF141C","","1980-01-01 00:00:00",".\04-logs\ocr\B6FBB3E8E2BED7E935703BA970F7962810BA0D7FDFE4CD69A288A127D7AF141C.txt","1","0","False","messenger GO  Your note Melissa Rashel  @a Marketplace °  ~ rm 19 new mes... - 6:48am Joe Bailey .  Joe sent a mess... - Sun Xandra Philli .  Xandra sentan... -Sun  William Patterson The audio calle... - Sun  Barron Trump ’ https://x.com/Ba... - Sat  Ryan Lee  The audio call en... - Sat  Tirson Lambe... + Fri .  NB Miata group == NB Miata chat: Ye... - Fri  Adri ® Yo"
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_0652.PNG","IMG_0652.PNG","EB6FD08146C44EAD2C81B3F323C97A42B6C8D0857C1C644DD08F06F089C36EEC","","1980-01-01 00:00:00",".\04-logs\ocr\EB6FD08146C44EAD2C81B3F323C97A42B6C8D0857C1C644DD08F06F089C36EEC.txt","1","0","False","messenger GO  Your note Melissa Rashel  @a Marketplace 19 new mes... - 6:48am  Joe Bailey Joe sent a mess... - Sun  Xandra Philli Xandra sentan... -Sun  William Patterson The audio calle... - Sun  Barron Trump ’ https://x.com/Ba... - Sat  Ryan Lee The audio call en... - Sat  Tirson Lambe... + Fri .  NB Miata group == NB Miata chat: Ye... - Fri  Adri ® You sent a video."
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_0653.PNG","IMG_0653.PNG","1A13A99D68A91869376109AB50D82D0359ADFD724B048748076B0B567BCF18EF","","1980-01-01 00:00:00",".\04-logs\ocr\1A13A99D68A91869376109AB50D82D0359ADFD724B048748076B0B567BCF18EF.txt","1","0","False","messenger GO  we So YW GS:  Your note Melissa Rashel  @a Marketplace rm  19 new mes... - 6:48am Joe Bailey . Joe sent a mess... - Sun Xandra Philli . Xandra sentan... -Sun  William Patterson The audio calle... - Sun  Barron Trump ’ https://x.com/Ba... - Sat  Ryan Lee The audio call en... - Sat  . Tirson Lambe... : Fri .  NB Miata group NB Miata chat: Ye... - Fri  Adri"
"E-001-GooglePhotos","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_0708.PNG","IMG_0708.PNG","749BBF743ACCB5B8B8B051DF56DFC76BB9EB9CEDFE9F109BB02E900F1BAF3F63","","1980-01-01 00:00:00",".\04-logs\ocr\749BBF743ACCB5B8B8B051DF56DFC76BB9EB9CEDFE9F109BB02E900F1BAF3F63.txt","1","0","False","6:10AM Sun May 11 FP 57% @ Telegram Johnny You have a new message  @ Google Photos  .. | 2021_- 2022 HIGH SC HOOL  631 Albert Street North Saint Paul, MN $5104 651 228 7706  Raquel a  Adriana  Middle Name  Nunez Flores  "
